"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,1
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","X4","G02","NON-BEV","11DT",,
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","X4","G02","NON-BEV","11DT",,
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","X4","G02","NON-BEV","11DT",,2
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","X4","G02","NON-BEV","11DT",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","X4","G02","NON-BEV","11DT",,3
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","X4","G02","NON-BEV","11DT",,
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","X3","F97","NON-BEV","11EC",,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EE",,7
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EE",,66
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EE",,21
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,13
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EE",94,164
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EE",,43
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EE",,
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EE",,101
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,50
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,6
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,2
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EE",,6
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EE",,374
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EE",,31
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,6
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EE",104,117
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EE",,22
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EE",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EE",,122
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","X1","U11","NON-BEV","11EE",,6
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,99
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,3
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,9
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EE",,1
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EF",,3
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EF",,1
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EF",,39
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,4
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EF",71,37
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EF",,10
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EF",,2
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,1
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,4
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EF",,37
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,9
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,1
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,2
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EF",,3
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EF",,9
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EF",,39
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,2
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EF",65,66
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EF",,24
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EF",,2
